matlab_mouse_index,python_index,session_file,session_id,lag,block_a_pv_correlation,block_b_pv_correlation,mean_block_pv_correlation
39,38,session_786091066.mat,786091066,11,0.7509402792765435,0.8638091745583161,0.8073747269174298
39,38,session_786091066.mat,786091066,12,0.7404347133878759,0.8613663509777526,0.8009005321828142
39,38,session_786091066.mat,786091066,13,0.732356005559085,0.8606379741001979,0.7964969898296415
39,38,session_786091066.mat,786091066,14,0.7210847314234189,0.8636741970743476,0.7923794642488833
39,38,session_786091066.mat,786091066,15,0.7084099119635018,0.8626198234179812,0.7855148676907415
39,38,session_786091066.mat,786091066,16,0.6985377388251066,0.8617718408680232,0.7801547898465648
39,38,session_786091066.mat,786091066,17,0.6889012435886834,0.8644132924389124,0.776657268013798
39,38,session_786091066.mat,786091066,18,0.6750515930809868,0.8545195209041804,0.7647855569925837
39,38,session_786091066.mat,786091066,19,0.6661700971682537,0.8523179512751935,0.7592440242217235
39,38,session_786091066.mat,786091066,20,0.658227104268834,0.8611404009839696,0.7596837526264018
39,38,session_786091066.mat,786091066,21,0.6488078119264921,0.8566462752718692,0.7527270435991806
39,38,session_786091066.mat,786091066,22,0.6364560751757066,0.850479194626992,0.7434676349013493
39,38,session_786091066.mat,786091066,23,0.6334503020997035,0.8520941845934609,0.7427722433465822
39,38,session_786091066.mat,786091066,24,0.6365848737110007,0.8449801973100458,0.7407825355105233
39,38,session_786091066.mat,786091066,25,0.6369779795283992,0.8447553521616034,0.7408666658450013
39,38,session_786091066.mat,786091066,26,0.6269553067841167,0.8427446966226434,0.7348500017033801
39,38,session_786091066.mat,786091066,27,0.6322409307637402,0.8343077322689694,0.7332743315163548
39,38,session_786091066.mat,786091066,28,0.6328440464288583,0.8240628090845421,0.7284534277567002
39,38,session_786091066.mat,786091066,29,0.5999105641898272,0.8109579907300396,0.7054342774599334
44,43,session_794812542.mat,794812542,1,0.5900061771226583,0.595187617743427,0.5925968974330427
44,43,session_794812542.mat,794812542,2,0.5983935700128767,0.5940688073898155,0.5962311887013461
44,43,session_794812542.mat,794812542,3,0.5824639728331134,0.6094610338477202,0.5959625033404168
44,43,session_794812542.mat,794812542,4,0.5672794574428262,0.587403374753041,0.5773414160979335
44,43,session_794812542.mat,794812542,5,0.566473894323193,0.5915505575874317,0.5790122259553123
44,43,session_794812542.mat,794812542,6,0.5697935634823463,0.5847212008898944,0.5772573821861204
44,43,session_794812542.mat,794812542,7,0.5815705027578428,0.580609493072898,0.5810899979153704
44,43,session_794812542.mat,794812542,8,0.5688241992781304,0.5826085940410101,0.5757163966595702
44,43,session_794812542.mat,794812542,9,0.5708141107765675,0.5678778295114049,0.5693459701439862
44,43,session_794812542.mat,794812542,10,0.5665878678711028,0.594421090959963,0.580504479415533
44,43,session_794812542.mat,794812542,11,0.5595883114076138,0.5863798068839642,0.572984059145789
44,43,session_794812542.mat,794812542,12,0.5565075871015771,0.5740181484161219,0.5652628677588495
44,43,session_794812542.mat,794812542,13,0.5669806114924993,0.6004973363559934,0.5837389739242465
44,43,session_794812542.mat,794812542,14,0.5723841164735801,0.5985519938813566,0.5854680551774684
44,43,session_794812542.mat,794812542,15,0.5719408390622972,0.6034936208129525,0.5877172299376249
44,43,session_794812542.mat,794812542,16,0.5767186797575865,0.6000004961987232,0.5883595879781549
44,43,session_794812542.mat,794812542,17,0.5806463652500631,0.6033330430319178,0.5919897041409905
44,43,session_794812542.mat,794812542,18,0.5857893991035578,0.5993711280704362,0.592580263586997
44,43,session_794812542.mat,794812542,19,0.5781302658934057,0.6035047394808724,0.590817502687139
44,43,session_794812542.mat,794812542,20,0.6034587478508018,0.6003162023562967,0.6018874751035492
