lag,repeat1,repeat2,pv_correlation,source_diagonal_offset
21,6,27,0.8349474274433919,21
21,7,28,0.8357136277234339,21
21,8,29,0.8263060581277636,21
21,9,30,0.7843510357339122,21
22,1,23,0.7673113123988063,22
22,2,24,0.8275525060095824,22
22,3,25,0.8047324093486627,22
22,4,26,0.8308903883540016,22
22,5,27,0.8419421341181279,22
22,6,28,0.8290815358643104,22
22,7,29,0.8269412716799811,22
22,8,30,0.8029767084625876,22
23,1,24,0.7852106837979922,23
23,2,25,0.8070948339267539,23
23,3,26,0.8236075013766607,23
23,4,27,0.8276817120588872,23
23,5,28,0.8299720087987015,23
23,6,29,0.807211438617044,23
23,7,30,0.8168125340158348,23
24,1,25,0.7601419821254364,24
24,2,26,0.8230658189717392,24
24,3,27,0.8143410623129661,24
24,4,28,0.8134639789145758,24
24,5,29,0.8229544775532739,24
24,6,30,0.7984227059752029,24
25,1,26,0.7743043226324489,25
25,2,27,0.8113359076897414,25
25,3,28,0.7877197854975175,25
25,4,29,0.8058806597861825,25
25,5,30,0.8054253442079344,25
26,1,27,0.7649791764263603,26
26,2,28,0.7888998852402559,26
26,3,29,0.7938153542607715,26
26,4,30,0.7934556087497796,26
27,1,28,0.7488360998835035,27
27,2,29,0.7852026137171051,27
27,3,30,0.783895365696894,27
28,1,29,0.7278433665781925,28
28,2,30,0.7825741080626324,28
29,1,30,0.7622767623745836,29
